Regiões;NUTS III;NUTS II;NUTS I;Zona Costeira
Arcos de Valdevez;Alto Minho;Norte;Continente;
Caminha;Alto Minho;Norte;Continente;
Melgaço;Alto Minho;Norte;Continente;
Monção;Alto Minho;Norte;Continente;
Paredes de Coura;Alto Minho;Norte;Continente;
Ponte da Barca;Alto Minho;Norte;Continente;
Ponte de Lima;Alto Minho;Norte;Continente;
Valença;Alto Minho;Norte;Continente;
Viana do Castelo;Alto Minho;Norte;Continente;
Vila Nova de Cerveira;Alto Minho;Norte;Continente;
Amares;Cávado;Norte;Continente;
Barcelos;Cávado;Norte;Continente;
Braga;Cávado;Norte;Continente;
Esposende;Cávado;Norte;Continente;
Terras de Bouro;Cávado;Norte;Continente;
Vila Verde;Cávado;Norte;Continente;
Cabeceiras de Basto;Ave;Norte;Continente;
Fafe;Ave;Norte;Continente;
Guimarães;Ave;Norte;Continente;
Mondim de Basto;Ave;Norte;Continente;
Póvoa de Lanhoso;Ave;Norte;Continente;
Vieira do Minho;Ave;Norte;Continente;
Vila Nova de Famalicão;Ave;Norte;Continente;
Vizela;Ave;Norte;Continente;
Arouca;Área Metropolitana do Porto;Norte;Continente;
Espinho;Área Metropolitana do Porto;Norte;Continente;
Gondomar;Área Metropolitana do Porto;Norte;Continente;
Maia;Área Metropolitana do Porto;Norte;Continente;
Matosinhos;Área Metropolitana do Porto;Norte;Continente;
Oliveira de Azeméis;Área Metropolitana do Porto;Norte;Continente;
Paredes;Área Metropolitana do Porto;Norte;Continente;
Porto;Área Metropolitana do Porto;Norte;Continente;
Póvoa de Varzim;Área Metropolitana do Porto;Norte;Continente;
Santa Maria da Feira;Área Metropolitana do Porto;Norte;Continente;
Santo Tirso;Área Metropolitana do Porto;Norte;Continente;
São João da Madeira;Área Metropolitana do Porto;Norte;Continente;
Trofa;Área Metropolitana do Porto;Norte;Continente;
Vale de Cambra;Área Metropolitana do Porto;Norte;Continente;
Valongo;Área Metropolitana do Porto;Norte;Continente;
Vila do Conde;Área Metropolitana do Porto;Norte;Continente;
Vila Nova de Gaia;Área Metropolitana do Porto;Norte;Continente;
Boticas;Alto Tâmega;Norte;Continente;
Chaves;Alto Tâmega;Norte;Continente;
Montalegre;Alto Tâmega;Norte;Continente;
Ribeira de Pena;Alto Tâmega;Norte;Continente;
Valpaços;Alto Tâmega;Norte;Continente;
Vila Pouca de Aguiar;Alto Tâmega;Norte;Continente;
Amarante;Tâmega e Sousa;Norte;Continente;
Baião;Tâmega e Sousa;Norte;Continente;
Castelo de Paiva;Tâmega e Sousa;Norte;Continente;
Celorico de Basto;Tâmega e Sousa;Norte;Continente;
